Common name,Sci name,Other common names,Other sci name,Order,Family,Countries,In US?,Big enough?,Use for iSDM,GBIF records 31-May-23,iNat records 31-May-23,Cam sites,Cam records,GBIF notes,iNat notes,Cam notes,Max confusion score?,Overlapping with confused spec?,Assigned to undergrads?
Oaxacan Big-toothed Deermouse,Megadontomys cryophilus,Oaxacan Giant Deermouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Nelson's Big-toothed Deermouse,Megadontomys nelsoni,Nelson's Giant Deer Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Thomas's Big-toothed Deermouse,Megadontomys thomasi,Thomas's Deermouse|Thomas's Giant Deer Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Volcano Deermouse,Neotomodon alstoni,Mexican Volcano Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Chihuahuan Grasshopper Mouse,Onychomys arenicola,Mearns's Grasshopper Mouse,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Northern Grasshopper Mouse,Onychomys leucogaster,,,RODENTIA,CRICETIDAE,Canada|United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Southern Grasshopper Mouse,Onychomys torridus,,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Osgood's Deermouse,Osgoodomys banderanus,Michoacan Deermouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Oaxacan Rock Deermouse,Peromyscus amplus,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Yukon Deermouse,Peromyscus arcticus,,,RODENTIA,CRICETIDAE,Canada,,No,,,,,,,,,NA,NA,FALSE
Texas Deermouse,Peromyscus attwateri,Texas Mouse,,RODENTIA,CRICETIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Aztec Deermouse,Peromyscus aztecus,Aztec Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Orizaba Deermouse,Peromyscus beatae,,,RODENTIA,CRICETIDAE,Mexico|Guatemala|Honduras|El Salvador,,No,,,,,,,,,NA,TRUE,FALSE
Brush Deermouse,Peromyscus boylii,Brush Mouse,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Perote Deermouse,Peromyscus bullatus,Perote Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
California Deermouse,Peromyscus californicus,California Mouse,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Monserrat Island Deermouse,Peromyscus caniceps,Burt's Deermouse|Montserrat Island Canyon Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,FALSE,TRUE
Carleton's Deermouse,Peromyscus carletoni,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Carol Patton's Deermouse,Peromyscus carolpattonae,,,RODENTIA,CRICETIDAE,Guatemala|Mexico,,No,,,,,,,,,NA,NA,FALSE
Jalisco Deermouse,Peromyscus chrysopus,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Tamaulipas White-ankled Deermouse,Peromyscus collinus,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Cordillera Deermouse,Peromyscus cordillerae,Oaxacan Deermouse,,RODENTIA,CRICETIDAE,Mexico|Guatemala|El Salvador|Honduras,,No,,,,,,,,,NA,NA,FALSE
Canyon Deermouse,Peromyscus crinitus,Canyon Mouse,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Dickey's Deermouse,Peromyscus dickeyi,Dickey's Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,FALSE,TRUE
Southern Rock Deermouse,Peromyscus difficilis,Zacatecan Deermouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Ensink's Deermouse,Peromyscus ensinki,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Cactus Deermouse,Peromyscus eremicus,Cactus Mouse,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Southern Baja Deermouse,Peromyscus eva,Eva's Desert Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Felipe's Rock Deermouse,Peromyscus felipensis,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Northern Baja Deermouse,Peromyscus fraterculus,,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Blackish Deermouse,Peromyscus furvus,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Gambel's Deermouse,Peromyscus gambelii,,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,NA,NA,FALSE
Cotton Deermouse,Peromyscus gossypinus,Cotton Mouse|Key Largo Cotton Mouse,,RODENTIA,CRICETIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Saxicoline Deermouse,Peromyscus gratus,Osgood's Mouse,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Greenbaum's Deermouse,Peromyscus greenbaumi,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
La Guarda Deermouse,Peromyscus guardia,Angel Island Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Naked-eared Deermouse,Peromyscus gymnotis,,,RODENTIA,CRICETIDAE,Mexico|Guatemala|Nicaragua?,,No,,,,,,,,,NA,TRUE,FALSE
Hooper's Deermouse,Peromyscus hooperi,Hooper's Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Transvolcanic Deermouse,Peromyscus hylocetes,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
North-western Deermouse,Peromyscus keeni,Keen's Mouse,,RODENTIA,CRICETIDAE,Alaska|Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Kilpatrick's Deermouse,Peromyscus kilpatricki,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Southern Deermouse,Peromyscus labecula,,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,NA,NA,FALSE
Northern White-ankled Deermouse,Peromyscus laceianus,Lacey's White-ankled Mouse,,RODENTIA,CRICETIDAE,United States,,No,,,,,,,,,NA,NA,FALSE
Wide-rostrum Deermouse,Peromyscus latirostris,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
White-footed Deermouse,Peromyscus leucopus,White-footed Mouse,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Tehuantepec Deermouse,Peromyscus leucurus,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Nimble-footed Deermouse,Peromyscus levipes,Nimble-footed Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Tres Marias Deermouse,Peromyscus madrensis,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,FALSE,TRUE
Eastern Deermouse,Peromyscus maniculatus,North American Deermouse,,RODENTIA,CRICETIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Broad-faced Deermouse,Peromyscus megalops,Brown Deermouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Puebla Deermouse,Peromyscus mekisturus,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Black-wristed Deermouse,Peromyscus melanocarpus,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Plateau Deermouse,Peromyscus melanophrys,Plateau Mouse|Black-eyed Deermouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Black-eared Deermouse,Peromyscus melanotis,Black-eared Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,4,TRUE,FALSE
Black-tailed Deermouse,Peromyscus melanurus,Black-tailed Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Merriam's Deermouse,Peromyscus merriami,Merriam's Mouse|Mesquite Mouse,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Mexican Deermouse,Peromyscus mexicanus,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Small-footed Deermouse,Peromyscus micropus,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Northern Rock Deermouse,Peromyscus nasutus,Northern Rock Mouse,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
El Carrizo Deermouse,Peromyscus ochraventer,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Southern White-ankled Deermouse,Peromyscus pectoralis,Encinal Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,4,TRUE,FALSE
Tawny Deermouse,Peromyscus perfulvus,Marsh Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Oldfield Deermouse,Peromyscus polionotus,Beach Mouse|Alabama Beach Mouse|Anastasia Island Beach Mouse|Choctawhatchee Beach Mouse|Perdido Key Beach Mouse|Saint Andrews Beach Mouse,,RODENTIA,CRICETIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Chihuahuan Deermouse,Peromyscus polius,Chihuahuan Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Purepechus Deermouse,Peromyscus purepechus,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Michoacan Deermouse,Peromyscus sagax,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Durango Deermouse,Peromyscus schmidlyi,Schmidly's Deermouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Santa Cruz Deermouse,Peromyscus sejugis,Santa Cruz Island Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,FALSE,TRUE
Sinaloan Deermouse,Peromyscus simulus,Nayarit Deermouse|Nayarit Mouse|Sinaloan Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Catalina Deermouse,Peromyscus slevini,Slevin's Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,FALSE,TRUE
Western Deermouse,Peromyscus sonoriensis,,,RODENTIA,CRICETIDAE,Alaska|Canada|United States|Mexico,,No,,,,,,,,,NA,NA,FALSE
Gleaning Deermouse,Peromyscus spicilegus,Gleaning Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
San Esteban Deermouse,Peromyscus stephani,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,FALSE,TRUE
Totontepec Deermouse,Peromyscus totontepecus,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Pinyon Deermouse,Peromyscus truei,Pinyon Mouse,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Coalcoman Deermouse,Peromyscus winkelmanni,Forest Mouse|Winkelmann's Deermouse|Winkelmann's Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Yucatan Deermouse,Peromyscus yucatanicus,,,RODENTIA,CRICETIDAE,Mexico|Guatemala,,No,,,,,,,,,NA,TRUE,FALSE
Zamora Deermouse,Peromyscus zamorae,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Chiapan Deermouse,Peromyscus zarhynchus,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Florida Deermouse,Podomys floridanus,Florida Mouse,,RODENTIA,CRICETIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Oaxacan Highlands Harvest Mouse,Reithrodontomys albilabris,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Sonoran Harvest Mouse,Reithrodontomys burti,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Volcano Harvest Mouse,Reithrodontomys chrysopsis,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Fulvous Harvest Mouse,Reithrodontomys fulvescens,,,RODENTIA,CRICETIDAE,United States|Mexico|Guatemala|Honduras|El Salvador|Nicaragua,,No,,,,,,,,,4,TRUE,FALSE
Slender Harvest Mouse,Reithrodontomys gracilis,,,RODENTIA,CRICETIDAE,Mexico|Belize|Guatemala|Honduras|El Salvador|Nicaragua|Costa Rica,,No,,,,,,,,,NA,TRUE,FALSE
Hairy Harvest Mouse,Reithrodontomys hirsutus,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Eastern Harvest Mouse,Reithrodontomys humulis,,,RODENTIA,CRICETIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Western Harvest Mouse,Reithrodontomys megalotis,Southern Marsh Harvest Mouse,,RODENTIA,CRICETIDAE,Canada|United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Mexican Harvest Mouse,Reithrodontomys mexicanus,,,RODENTIA,CRICETIDAE,Mexico|Guatemala|El Salvador|Honduras|Nicaragua|Colombia|Ecuador,,No,,,,,,,,,NA,TRUE,FALSE
Small-toothed Harvest Mouse,Reithrodontomys microdon,,,RODENTIA,CRICETIDAE,Mexico|Guatemala,,No,,,,,,,,,NA,TRUE,FALSE
Plains Harvest Mouse,Reithrodontomys montanus,,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Salt-marsh Harvest Mouse,Reithrodontomys raviventris,,,RODENTIA,CRICETIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Cozumel Harvest Mouse,Reithrodontomys spectabilis,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,FALSE,TRUE
Sumichrast's Harvest Mouse,Reithrodontomys sumichrasti,,,RODENTIA,CRICETIDAE,Mexico|Guatemala|Honduras|El Salvador|Nicaragua|Costa Rica|Panama,,No,,,,,,,,,NA,TRUE,FALSE
Narrow-nosed Harvest Mouse,Reithrodontomys tenuirostris,,,RODENTIA,CRICETIDAE,Mexico|Guatemala,,No,,,,,,,,,NA,TRUE,FALSE
Wagner's Harvest Mouse,Reithrodontomys wagneri,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Zacatecan Harvest Mouse,Reithrodontomys zacatecae,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Mexican Water Mouse,Rheomys mexicanus,Goodwin's Water Mouse|Mexican Ichthyomyine,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Thomas's Water Mouse,Rheomys thomasi,Thomas' Ichthyomyine,,RODENTIA,CRICETIDAE,Mexico|Guatemala|El Salvador|Honduras?,,No,,,,,,,,,NA,NA,FALSE
Alfaro's Rice Rat,Handleyomys alfaroi,Alfaro's Oryzomys,,RODENTIA,CRICETIDAE,Mexico|Guatemala|Belize|Honduras|El Salvador|Nicaragua|Costa Rica|Panama|Colombia|Ecuador,,No,,,,,,,,,NA,TRUE,FALSE
Chapman's Rice Rat,Handleyomys chapmani,Chapman's Oryzomys,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Guerrero Rice Rat,Handleyomys guerrerensis,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Black-eared Rice Rat,Handleyomys melanotis,Black-eared Oryzomys,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Highland Rice Rat,Handleyomys rhabdops,Highland Oryzomys|Striped Rice Rat,,RODENTIA,CRICETIDAE,Mexico|Guatemala,,No,,,,,,,,,NA,TRUE,FALSE
Long-nosed Rice Rat,Handleyomys rostratus,Long-nosed Oryzomys,,RODENTIA,CRICETIDAE,Mexico|Guatemala|Honduras|El Salvador|Nicaragua,,No,,,,,,,,,NA,TRUE,FALSE
Cloud Forest Rice Rat,Handleyomys saturatior,Cloud Forest Oryzomys,,RODENTIA,CRICETIDAE,Mexico|Guatemala|Honduras|El Salvador|Nicaragua,,No,,,,,,,,,NA,TRUE,FALSE
Fulvous Pygmy Rice Rat,Oligoryzomys fulvescens,Fulvous Colilargo|Northern Pygmy Rice Rat,,RODENTIA,CRICETIDAE,Mexico|Guatemala|Belize|Honduras|El Salvador|Nicaragua,,No,,,,,,,,,NA,TRUE,FALSE
White-bellied Marsh Rice Rat,Oryzomys albiventer,White Venter Rice Rat,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Coues's Marsh Rice Rat,Oryzomys couesi,Coues's Oryzomys|Coues's Rice Rat,,RODENTIA,CRICETIDAE,United States|Mexico|Guatemala|Belize|El Salvador|Honduras|Nicaragua|Costa Rica|Panama|Colombia,,No,,,,,,,,,4,NA,FALSE
Common Marsh Rice Rat,Oryzomys palustris,Marsh Oryzomys|Rice Meadow Mouse|Swamp Rice Rat,,RODENTIA,CRICETIDAE,United States,,No,,,,,,,,,4,NA,FALSE
Texas Marsh Rice Rat,Oryzomys texensis,Texan Rice Rat,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,NA,NA,FALSE
Allen's Cotton Rat,Sigmodon alleni,Brown Cotton Rat,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Arizona Cotton Rat,Sigmodon arizonae,Colorado River Cotton Rat,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Tawny-bellied Cotton Rat,Sigmodon fulviventer,,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Burmeister's Cotton Rat,Sigmodon hirsutus,Southern Cotton Rat,,RODENTIA,CRICETIDAE,Mexico|Guatemala|Honduras|El Salvador|Nicaragua|Costa Rica|Panama|Colombia|Venezuela,,No,,,,,,,,,NA,TRUE,FALSE
Hispid Cotton Rat,Sigmodon hispidus,,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
White-eared Cotton Rat,Sigmodon leucotis,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
West Mexican Cotton Rat,Sigmodon mascotensis,Jaliscan Cotton Rat,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Yellow-nosed Cotton Rat,Sigmodon ochrognathus,,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Miahuatlan Cotton Rat,Sigmodon planifrons,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Toltec Cotton Rat,Sigmodon toltecus,,,RODENTIA,CRICETIDAE,Mexico|Belize|Guatemala|Honduras,,No,,,,,,,,,NA,TRUE,FALSE
Montane Cotton Rat,Sigmodon zanjonensis,,,RODENTIA,CRICETIDAE,Mexico|Guatemala|Honduras,,No,,,,,,,,,NA,NA,FALSE
Sumichrast's Vesper Rat,Nyctomys sumichrasti,Vesper Rat,,RODENTIA,CRICETIDAE,Mexico|Belize|Guatemala|Honduras|El Salvador|Nicaragua|Costa Rica|Panama,,No,,,,,,,,,NA,TRUE,FALSE
Yucatan Vesper Rat,Otonyctomys hatti,Hatt's Vesper Mouse|Hatt's Vesper Rat|Yucatan Vesper Mouse,,RODENTIA,CRICETIDAE,Mexico|Belize|Guatemala,,No,,,,,,,,,NA,TRUE,FALSE
La Pera Climbing Rat,Ototylomys chiapensis,La Pera Big-eared Climbing Rat,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Big-eared Climbing Rat,Ototylomys phyllotis,,,RODENTIA,CRICETIDAE,Mexico|Belize|Guatemala|Honduras|El Salvador|Nicaragua|Costa Rica,,No,,,,,,,,,NA,TRUE,FALSE
Chiapan Climbing Rat,Tylomys bullaris,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Peters's Climbing Rat,Tylomys nudicaudus,,,RODENTIA,CRICETIDAE,Mexico|Belize|Guatemala|El Salvador|Honduras|Nicaragua,,No,,,,,,,,,NA,TRUE,FALSE
Tumbala Climbing Rat,Tylomys tumbalensis,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Round-tailed Ground Squirrel,Xerospermophilus tereticaudus,,Spermophilus tereticaudus,RODENTIA,SCIURIDAE,United States|Mexico,Yes,Yes,Yes,921,1436,,,,,,3,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
